latitude,longitude,kde,kde_norm
-36.6186,113.0,1.234,2.02
-36.6186,113.5942,1.527,2.51
-36.6186,114.1884,1.8,2.95
-36.6186,114.7826,2.019,3.31
-36.6186,115.3768,2.154,3.53
-36.6186,115.971,2.188,3.59
-36.6186,116.5652,2.114,3.47
-36.6186,117.1594,1.944,3.19
-36.6186,117.7536,1.701,2.79
-36.6186,118.3478,1.417,2.32
-36.6186,118.942,1.124,1.84
-36.6186,119.5362,0.849,1.39
-36.6186,120.1304,0.61,1.0
-36.6186,131.4203,0.761,1.25
-36.6186,132.0145,1.166,1.91
-36.6186,132.6087,1.768,2.9
-36.6186,133.2029,2.637,4.33
-36.6186,133.7971,3.85,6.32
-36.6186,134.3913,5.478,8.99
-36.6186,134.9855,7.562,12.41
-36.6186,135.5797,10.099,16.57
-36.6186,136.1739,13.026,21.37
-36.6186,136.7681,16.218,26.61
-36.6186,137.3623,19.508,32.0
-36.6186,137.9565,22.721,37.27
-36.6186,138.5507,25.718,42.19
-36.6186,139.1449,28.43,46.64
-36.6186,139.7391,30.88,50.66
-36.6186,140.3333,33.176,54.42
-36.6186,140.9275,35.472,58.19
-36.6186,141.5217,37.904,62.18
-36.6186,142.1159,40.524,66.48
-36.6186,142.7101,43.253,70.96
-36.6186,143.3043,45.901,75.3
-36.6186,143.8986,48.242,79.14
-36.6186,144.4928,50.121,82.22
-36.6186,145.087,51.523,84.52
-36.6186,145.6812,52.563,86.23
-36.6186,146.2754,53.4,87.6
-36.6186,146.8696,54.138,88.81
-36.6186,147.4638,54.756,89.83
-36.6186,148.058,55.111,90.41
-36.6186,148.6522,54.986,90.2
-36.6186,149.2464,54.171,88.87
-36.6186,149.8406,52.531,86.18
-36.6186,150.4348,50.044,82.1
-36.6186,151.029,46.804,76.78
-36.6186,151.6232,42.991,70.53
-36.6186,152.2174,38.828,63.7
-36.6186,152.8116,34.528,56.64
-36.6186,153.4058,30.268,49.65
-36.6186,154.0,26.171,42.93
-36.0508,113.0,2.005,3.29
-36.0508,113.5942,2.485,4.08
-36.0508,114.1884,2.932,4.81
-36.0508,114.7826,3.291,5.4
-36.0508,115.3768,3.515,5.77
-36.0508,115.971,3.57,5.86
-36.0508,116.5652,3.447,5.65
-36.0508,117.1594,3.167,5.2
-36.0508,117.7536,2.768,4.54
-36.0508,118.3478,2.303,3.78
-36.0508,118.942,1.825,2.99
-36.0508,119.5362,1.377,2.26
-36.0508,120.1304,0.989,1.62
-36.0508,120.7246,0.677,1.11
-36.0508,131.4203,0.757,1.24
-36.0508,132.0145,1.176,1.93
-36.0508,132.6087,1.809,2.97
-36.0508,133.2029,2.733,4.48
-36.0508,133.7971,4.036,6.62
-36.0508,134.3913,5.793,9.5
-36.0508,134.9855,8.048,13.2
-36.0508,135.5797,10.788,17.7
-36.0508,136.1739,13.929,22.85
-36.0508,136.7681,17.315,28.4
-36.0508,137.3623,20.742,34.03
-36.0508,137.9565,23.998,39.37
-36.0508,138.5507,26.912,44.15
-36.0508,139.1449,29.403,48.23
-36.0508,139.7391,31.498,51.67
-36.0508,140.3333,33.32,54.66
-36.0508,140.9275,35.051,57.5
-36.0508,141.5217,36.862,60.47
-36.0508,142.1159,38.857,63.74
-36.0508,142.7101,41.028,67.31
-36.0508,143.3043,43.269,70.98
-36.0508,143.8986,45.435,74.53
-36.0508,144.4928,47.42,77.79
-36.0508,145.087,49.21,80.73
-36.0508,145.6812,50.876,83.46
-36.0508,146.2754,52.511,86.14
-36.0508,146.8696,54.149,88.83
-36.0508,147.4638,55.712,91.39
-36.0508,148.058,57.002,93.51
-36.0508,148.6522,57.754,94.74
-36.0508,149.2464,57.699,94.65
-36.0508,149.8406,56.644,92.92
-36.0508,150.4348,54.518,89.44
-36.0508,151.029,51.392,84.31
-36.0508,151.6232,47.46,77.86
-36.0508,152.2174,42.99,70.52
-36.0508,152.8116,38.269,62.78
-36.0508,153.4058,33.542,55.02
-36.0508,154.0,28.985,47.55
-35.4831,113.0,3.068,5.03
-35.4831,113.5942,3.81,6.25
-35.4831,114.1884,4.505,7.39
-35.4831,114.7826,5.067,8.31
-35.4831,115.3768,5.417,8.89
-35.4831,115.971,5.501,9.02
-35.4831,116.5652,5.307,8.71
-35.4831,117.1594,4.866,7.98
-35.4831,117.7536,4.245,6.96
-35.4831,118.3478,3.524,5.78
-35.4831,118.942,2.787,4.57
-35.4831,119.5362,2.1,3.44
-35.4831,120.1304,1.508,2.47
-35.4831,120.7246,1.031,1.69
-35.4831,121.3188,0.672,1.1
-35.4831,131.4203,0.732,1.2
-35.4831,132.0145,1.153,1.89
-35.4831,132.6087,1.794,2.94
-35.4831,133.2029,2.74,4.49
-35.4831,133.7971,4.083,6.7
-35.4831,134.3913,5.902,9.68
-35.4831,134.9855,8.239,13.52
-35.4831,135.5797,11.077,18.17
-35.4831,136.1739,14.314,23.48
-35.4831,136.7681,17.774,29.16
-35.4831,137.3623,21.224,34.82
-35.4831,137.9565,24.426,40.07
-35.4831,138.5507,27.192,44.61
-35.4831,139.1449,29.431,48.28
-35.4831,139.7391,31.174,51.14
-35.4831,140.3333,32.556,53.41
-35.4831,140.9275,33.778,55.41
-35.4831,141.5217,35.042,57.49
-35.4831,142.1159,36.491,59.86
-35.4831,142.7101,38.175,62.63
-35.4831,143.3043,40.061,65.72
-35.4831,143.8986,42.069,69.01
-35.4831,144.4928,44.131,72.4
-35.4831,145.087,46.234,75.85
-35.4831,145.6812,48.411,79.42
-35.4831,146.2754,50.702,83.18
-35.4831,146.8696,53.092,87.1
-35.4831,147.4638,55.467,90.99
-35.4831,148.058,57.607,94.5
-35.4831,148.6522,59.215,97.14
-35.4831,149.2464,59.979,98.39
-35.4831,149.8406,59.642,97.84
-35.4831,150.4348,58.06,95.25
-35.4831,151.029,55.244,90.63
-35.4831,151.6232,51.365,84.26
-35.4831,152.2174,46.718,76.64
-35.4831,152.8116,41.654,68.33
-35.4831,153.4058,36.5,59.88
-35.4831,154.0,31.503,51.68
-34.9153,113.0,4.424,7.26
-34.9153,113.5942,5.513,9.04
-34.9153,114.1884,6.54,10.73
-34.9153,114.7826,7.375,12.1
-34.9153,115.3768,7.896,12.95
-34.9153,115.971,8.018,13.15
-34.9153,116.5652,7.724,12.67
-34.9153,117.1594,7.064,11.59
-34.9153,117.7536,6.141,10.07
-34.9153,118.3478,5.082,8.34
-34.9153,118.942,4.008,6.58
-34.9153,119.5362,3.013,4.94
-34.9153,120.1304,2.16,3.54
-34.9153,120.7246,1.476,2.42
-34.9153,121.3188,0.961,1.58
-34.9153,121.913,0.596,0.98
-34.9153,131.4203,0.686,1.13
-34.9153,132.0145,1.09,1.79
-34.9153,132.6087,1.712,2.81
-34.9153,133.2029,2.636,4.32
-34.9153,133.7971,3.954,6.49
-34.9153,134.3913,5.745,9.42
-34.9153,134.9855,8.049,13.2
-34.9153,135.5797,10.844,17.79
-34.9153,136.1739,14.022,23.0
-34.9153,136.7681,17.398,28.54
-34.9153,137.3623,20.728,34.0
-34.9153,137.9565,23.768,38.99
-34.9153,138.5507,26.322,43.18
-34.9153,139.1449,28.3,46.43
-34.9153,139.7391,29.733,48.78
-34.9153,140.3333,30.765,50.47
-34.9153,140.9275,31.606,51.85
-34.9153,141.5217,32.47,53.27
-34.9153,142.1159,33.527,55.0
-34.9153,142.7101,34.864,57.19
-34.9153,143.3043,36.495,59.87
-34.9153,143.8986,38.382,62.96
-34.9153,144.4928,40.484,66.41
-34.9153,145.087,42.783,70.18
-34.9153,145.6812,45.289,74.3
-34.9153,146.2754,48.007,78.75
