Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2023,2023,1000 t,158,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2023,2023,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2023,2023,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2023,2023,1000 t,155,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2023,2023,kg/cap,5.88,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2023,2023,kcal/cap/d,6.12,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2023,2023,million Kcal,59061.26,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2023,2023,g/cap/d,0.27,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2023,2023,t,2584.14,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2023,2023,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2023,2023,t,942.83,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2633,Cocoa Beans and products,2016,2016,1000 t,114,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2633,Cocoa Beans and products,2016,2016,1000 t,5,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2633,Cocoa Beans and products,2016,2016,1000 t,23,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2633,Cocoa Beans and products,2016,2016,1000 t,86,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2633,Cocoa Beans and products,2016,2016,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2633,Cocoa Beans and products,2016,2016,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2633,Cocoa Beans and products,2016,2016,1000 t,86,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2633,Cocoa Beans and products,2016,2016,kg/cap,3.52,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2633,Cocoa Beans and products,2016,2016,kcal/cap/d,36.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2633,Cocoa Beans and products,2016,2016,million Kcal,320585.88,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2633,Cocoa Beans and products,2016,2016,g/cap/d,0.98,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2633,Cocoa Beans and products,2016,2016,t,8681.17,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2633,Cocoa Beans and products,2016,2016,g/cap/d,1.93,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2633,Cocoa Beans and products,2016,2016,t,17146.25,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2633,Cocoa Beans and products,2017,2017,1000 t,111,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2633,Cocoa Beans and products,2017,2017,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2633,Cocoa Beans and products,2017,2017,1000 t,21,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2633,Cocoa Beans and products,2017,2017,1000 t,90,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2633,Cocoa Beans and products,2017,2017,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2633,Cocoa Beans and products,2017,2017,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2633,Cocoa Beans and products,2017,2017,1000 t,90,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2633,Cocoa Beans and products,2017,2017,kg/cap,3.65,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2633,Cocoa Beans and products,2017,2017,kcal/cap/d,37.93,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2633,Cocoa Beans and products,2017,2017,million Kcal,342386.93,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2633,Cocoa Beans and products,2017,2017,g/cap/d,1.01,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2633,Cocoa Beans and products,2017,2017,t,9161.66,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2633,Cocoa Beans and products,2017,2017,g/cap/d,2.03,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2633,Cocoa Beans and products,2017,2017,t,18347.29,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2633,Cocoa Beans and products,2018,2018,1000 t,113,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2633,Cocoa Beans and products,2018,2018,1000 t,-3,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2633,Cocoa Beans and products,2018,2018,1000 t,23,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2633,Cocoa Beans and products,2018,2018,1000 t,92,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2633,Cocoa Beans and products,2018,2018,1000 t,0,I,Value imputed by a receiving agency,
